spatial id,temporal id,Target (normal),Normal target,occurrence t
3,1,0.0,0.0,0
3,2,0.0,0.0,1
3,3,0.0,0.0,1
3,4,0.0,0.0,0
3,5,0.0,0.0,0
3,6,0.0,0.0,0
3,7,0.0,0.0,0
3,8,0.0,0.0,0
3,9,0.0,0.0,0
3,10,0.0,0.0,0
3,11,0.0,0.0,0
3,12,1.0,1.0,0
3,13,0.0,0.0,0
3,14,0.0,0.0,0
3,15,0.0,0.0,1
3,16,0.0,0.0,0
3,17,1.0,1.0,0
3,18,0.0,0.0,0
3,19,0.0,0.0,0
3,20,0.0,0.0,1
3,21,0.0,0.0,0
3,22,0.0,0.0,0
3,23,0.0,0.0,0
3,24,0.0,0.0,0
3,25,0.0,0.0,0
3,26,0.0,0.0,0
3,27,1.0,1.0,0
3,28,0.0,0.0,0
3,29,0.0,0.0,0
3,30,0.0,0.0,1
3,31,0.0,0.0,0
3,32,0.0,0.0,0
3,33,0.0,0.0,0
3,34,0.0,0.0,0
3,35,0.0,0.0,0
3,36,0.0,0.0,0
3,37,0.0,0.0,0
3,38,1.0,1.0,0
3,39,0.0,0.0,0
3,40,0.0,0.0,0
3,41,0.0,0.0,1
3,42,0.0,0.0,0
3,43,1.0,1.0,0
3,44,0.0,0.0,0
3,45,0.0,0.0,0
3,46,0.0,0.0,1
3,47,0.0,0.0,0
3,48,0.0,0.0,0
3,49,0.0,0.0,0
3,50,0.0,0.0,0
3,51,0.0,0.0,0
3,52,0.0,0.0,0
3,53,0.0,0.0,0
3,54,0.0,0.0,0
3,55,0.0,0.0,0
3,56,0.0,0.0,0
3,57,0.0,0.0,0
3,58,0.0,0.0,0
3,59,0.0,0.0,0
3,60,0.0,0.0,0
3,61,0.0,0.0,0
3,62,0.0,0.0,0
3,63,0.0,0.0,0
3,64,0.0,0.0,0
3,65,0.0,0.0,0
3,66,0.0,0.0,0
3,67,0.0,0.0,0
3,68,1.0,1.0,0
3,69,0.0,0.0,0
3,70,0.0,0.0,0
3,71,0.0,0.0,1
3,72,0.0,0.0,0
3,73,0.0,0.0,0
3,74,0.0,0.0,0
3,75,1.0,1.0,0
3,76,0.0,0.0,0
3,77,0.0,0.0,0
3,78,0.0,0.0,1
3,79,0.0,0.0,0
3,80,1.0,1.0,0
3,81,0.0,0.0,0
3,82,1.0,1.0,0
3,83,0.0,0.0,1
3,84,0.0,0.0,0
3,85,0.0,0.0,1
3,86,0.0,0.0,0
3,87,1.0,1.0,0
3,88,0.0,0.0,0
3,89,1.0,1.0,0
3,90,0.0,0.0,1
3,91,0.0,0.0,0
3,92,0.0,0.0,1
3,93,1.0,1.0,0
3,94,0.0,0.0,0
3,95,0.0,0.0,0
3,96,1.0,1.0,1
3,97,1.0,1.0,0
3,98,1.0,1.0,0
